"customer_id","age","gender","city","category","item_purchased","color","size","quantity","unit_price_vnd","discount_applied","total_purchase_vnd","payment_method","purchase_channel","shipping_type","season","purchase_frequency","subscription_member","promo_code_used","review_rating","age_group","purchase_frequency_days"
1,31,"Female","Ho Chi Minh","Running Shoes","FuelCell SuperComp Elite","Pink","37",1,3150000,"No",3150000,"Cash","In-Store","In-Store Pickup","Summer","Fortnightly","No","No",5.0,"Young Adult",14
2,27,"Male","Ho Chi Minh","Apparel - Top","Essentials Hoodie","Green","XXL",1,800000,"Yes",680000,"Cash","Online - Website","Standard","Summer","Fortnightly","No","Yes",2.0,"Young Adult",14
3,32,"Female","Ha Noi","Lifestyle Sneakers","9060","White",NULL,1,2000000,"Yes",2000000,"ZaloPay","TikTok Shop","Standard","Winter","Weekly","No","Yes",4.0,"Adult",7
4,38,"Male","Ha Noi","Training Shoes","Minimus TR","Navy","44",1,2550000,"No",2550000,"Credit Card","Lazada","Standard","Autumn","Weekly","Yes","No",5.0,"Adult",7
5,26,"Female","Ha Noi","Running Shoes","880v13","Beige","42",1,3400000,"Yes",3060000,"MoMo","In-Store","In-Store Pickup","Autumn","Annually","No","No",3.0,"Young Adult",365
6,26,"Male","Ho Chi Minh","Running Shoes","FuelCell SuperComp Elite","Yellow","42",1,3050000,"No",3050000,"MoMo","Online - App","Express","Summer","Weekly","Yes","No",5.0,"Young Adult",7
7,39,"Female","Ha Noi","Running Shoes","Fresh Foam X 1080","Pink","40",1,3550000,"No",3550000,"Cash","Online - App","Same-day","Winter","Quarterly","Yes","No",4.0,"Adult",90
8,33,"Male","Ho Chi Minh","Running Shoes","Fresh Foam 860","Navy","40",1,3050000,"Yes",2592000,"Cash","Shopee","Standard","Winter","Weekly","No","No",3.0,"Adult",7
9,24,"Male","Da Nang","Accessories","Wristband Set","Navy",NULL,1,450000,"No",450000,"Debit Card","Lazada","Standard","Summer","Annually","No","No",1.0,"Teen",365
10,31,"Male","Ho Chi Minh","Apparel - Bottom","Impact Run Tight","Pink","XS",1,650000,"Yes",650000,"MoMo","Shopee","Standard","Winter","Quarterly","No","Yes",4.0,"Young Adult",90
11,24,"Male","Ho Chi Minh","Training Shoes","Freeze LX v3","Black","37",1,3050000,"No",3050000,"ZaloPay","In-Store","In-Store Pickup","Spring","Bi-Weekly","No","No",3.0,"Teen",14
12,24,"Male","Ho Chi Minh","Running Shoes","Fuelcell Rebel v4","White","36",1,3800000,"Yes",3420000,"Credit Card","Online - Website","Express","Spring","Fortnightly","No","No",4.0,"Teen",14
13,29,"Female","Ho Chi Minh","Running Shoes","Fresh Foam 860","Black","39",1,5250000,"No",5250000,"Cash","Online - Website","Standard","Spring","Fortnightly","Yes","No",4.0,"Young Adult",14
14,16,"Male","Ha Noi","Lifestyle Sneakers","2002R","Navy",NULL,1,1950000,"No",1950000,"Debit Card","Online - App","Express","Summer","Weekly","Yes","No",5.0,"Teen",7
15,16,"Male","Ho Chi Minh","Running Shoes","Fuelcell Rebel v4","White","45",1,3100000,"No",3100000,"MoMo","In-Store","In-Store Pickup","Summer","Weekly","No","No",4.0,"Teen",7
16,24,"Male","Ho Chi Minh","Training Shoes","Freeze LX v3","White","40",1,2500000,"Yes",2000000,"ZaloPay","In-Store","In-Store Pickup","Summer","Monthly","No","No",5.0,"Teen",30
17,20,"Male","Da Nang","Training Shoes","FuelCell Training","Black","36",1,2900000,"No",2900000,"MoMo","In-Store","In-Store Pickup","Autumn","Bi-Weekly","Yes","No",1.0,"Teen",14
18,30,"Female","Ho Chi Minh","Lifestyle Sneakers","530","Green",NULL,1,2350000,"Yes",2115000,"VNPay","TikTok Shop","Same-day","Spring","Quarterly","No","No",4.0,"Young Adult",90
